country,year,attack_type,target_industry,financial_loss_in_million,number_of_affected_users,attack_source,security_vulnerability_type,defense_mechanism_used,incident_resolution_time_in_hours,severity_score
Japan,2016,Man-in-the-Middle,IT,57.14,590262,Insider,Unpatched Software,Antivirus,15,590319.14
Germany,2015,DDoS,IT,91.79,846200,Unknown,Social Engineering,AI-based Detection,26,846291.79
Japan,2017,Phishing,Telecommunications,89.85,44385,Hacker Group,Weak Passwords,AI-based Detection,18,44474.85
UK,2021,Phishing,Banking,44.7,408446,Insider,Social Engineering,VPN,43,408490.7
UK,2023,DDoS,Education,54,806965,Insider,Social Engineering,AI-based Detection,56,807019
Russia,2018,Ransomware,Education,79.93,587346,Hacker Group,Social Engineering,Antivirus,39,587425.93
Japan,2015,Phishing,Education,2.43,552342,Unknown,Zero-day,VPN,62,552344.43
France,2019,DDoS,Education,66.65,47104,Insider,Social Engineering,VPN,5,47170.65
USA,2016,DDoS,Retail,13.83,586557,Hacker Group,Social Engineering,AI-based Detection,37,586570.83
Russia,2017,Malware,Government,2.65,500857,Hacker Group,Zero-day,VPN,35,500859.65
USA,2022,Man-in-the-Middle,Banking,65.51,977913,Hacker Group,Weak Passwords,Antivirus,70,977978.51
France,2021,Malware,Telecommunications,68.64,894858,Hacker Group,Social Engineering,Firewall,19,894926.64
UK,2018,Man-in-the-Middle,IT,75.81,574089,Unknown,Unpatched Software,Firewall,32,574164.81
USA,2015,DDoS,Healthcare,62.99,232622,Nation-state,Weak Passwords,Antivirus,33,232684.99
India,2015,Malware,Retail,89.95,917351,Unknown,Zero-day,Encryption,43,917440.95
Australia,2024,SQL Injection,IT,98.31,694333,Insider,Unpatched Software,VPN,48,694431.31
India,2017,Ransomware,Government,38.87,968822,Nation-state,Weak Passwords,Antivirus,25,968860.87
Brazil,2015,DDoS,Banking,18.87,976838,Unknown,Weak Passwords,Firewall,65,976856.87
Australia,2019,DDoS,Education,54.63,22739,Insider,Unpatched Software,Firewall,44,22793.63
UK,2015,Man-in-the-Middle,Retail,7.92,657442,Nation-state,Social Engineering,Firewall,29,657449.92
Brazil,2018,Phishing,Education,57.59,257681,Nation-state,Zero-day,Antivirus,40,257738.59
Japan,2021,Man-in-the-Middle,Retail,9.97,536471,Hacker Group,Weak Passwords,Encryption,72,536480.97
France,2015,Ransomware,IT,84.02,824619,Unknown,Social Engineering,Firewall,21,824703.02
Russia,2016,SQL Injection,Government,77.94,538804,Hacker Group,Weak Passwords,VPN,43,538881.94
Japan,2023,Phishing,Healthcare,49.32,463704,Hacker Group,Weak Passwords,Firewall,14,463753.32
China,2021,Man-in-the-Middle,Telecommunications,66.61,596341,Insider,Weak Passwords,AI-based Detection,9,596407.61
Brazil,2020,Malware,Retail,89.71,529588,Nation-state,Weak Passwords,AI-based Detection,65,529677.71
Germany,2018,Man-in-the-Middle,Retail,43.28,22241,Hacker Group,Zero-day,Firewall,5,22284.28
Brazil,2020,Phishing,Banking,21.65,434936,Hacker Group,Zero-day,Encryption,24,434957.65
Japan,2019,Malware,IT,33.61,52191,Nation-state,Weak Passwords,Antivirus,72,52224.61
Australia,2015,Malware,Banking,8.24,242247,Insider,Social Engineering,Antivirus,29,242255.24
Brazil,2020,Phishing,Banking,34.5,372427,Insider,Weak Passwords,VPN,72,372461.5
Brazil,2021,Ransomware,Healthcare,67.25,796351,Nation-state,Weak Passwords,AI-based Detection,21,796418.25
Japan,2020,SQL Injection,Telecommunications,38.29,505831,Hacker Group,Social Engineering,Encryption,40,505869.29
Germany,2020,Malware,Government,32.59,743344,Insider,Zero-day,VPN,4,743376.59
China,2017,Phishing,Healthcare,70.4,651809,Unknown,Unpatched Software,Firewall,17,651879.4
Brazil,2023,SQL Injection,Telecommunications,31.54,839281,Insider,Weak Passwords,Encryption,25,839312.54
Brazil,2018,SQL Injection,Retail,84.79,99876,Insider,Unpatched Software,Firewall,56,99960.79
UK,2016,SQL Injection,Telecommunications,98.39,836521,Insider,Weak Passwords,Firewall,19,836619.39
Japan,2022,SQL Injection,Retail,43.73,392831,Nation-state,Weak Passwords,AI-based Detection,71,392874.73
China,2015,Ransomware,Government,86.88,99312,Unknown,Zero-day,AI-based Detection,60,99398.88
Japan,2017,Malware,Education,26.24,945147,Insider,Zero-day,AI-based Detection,20,945173.24
USA,2018,DDoS,IT,26.29,943039,Insider,Zero-day,Firewall,28,943065.29
Brazil,2016,Malware,Retail,76.81,670642,Unknown,Unpatched Software,AI-based Detection,10,670718.81
USA,2016,Malware,Banking,36.2,194553,Hacker Group,Social Engineering,AI-based Detection,48,194589.2
China,2022,Ransomware,Education,49.56,257224,Hacker Group,Social Engineering,Firewall,46,257273.56
India,2019,DDoS,Banking,58.96,891815,Unknown,Weak Passwords,Antivirus,19,891873.96
China,2020,Ransomware,Banking,98.05,168617,Hacker Group,Unpatched Software,VPN,16,168715.05
UK,2016,Ransomware,Government,83.67,701152,Nation-state,Social Engineering,Firewall,53,701235.67
USA,2023,SQL Injection,Banking,30.66,749609,Nation-state,Zero-day,AI-based Detection,28,749639.66
UK,2024,Man-in-the-Middle,Government,86.74,658712,Hacker Group,Unpatched Software,VPN,25,658798.74
China,2022,DDoS,Retail,77.74,642501,Hacker Group,Zero-day,AI-based Detection,19,642578.74
Australia,2017,Malware,Banking,92.65,817255,Hacker Group,Weak Passwords,Antivirus,62,817347.65
China,2021,Ransomware,Government,5.96,92237,Nation-state,Weak Passwords,AI-based Detection,47,92242.96
Australia,2023,Man-in-the-Middle,Telecommunications,66.91,156195,Nation-state,Unpatched Software,Firewall,58,156261.91
India,2016,Man-in-the-Middle,IT,23.38,618125,Nation-state,Zero-day,VPN,16,618148.38
Australia,2021,Man-in-the-Middle,Banking,82.04,828293,Insider,Weak Passwords,Antivirus,64,828375.04
Brazil,2017,Malware,Telecommunications,6.09,436100,Unknown,Zero-day,Encryption,12,436106.09
USA,2020,DDoS,Retail,14.12,787194,Unknown,Zero-day,VPN,51,787208.12
France,2021,Phishing,Retail,31.52,380086,Nation-state,Social Engineering,Encryption,65,380117.52
India,2024,Malware,Healthcare,13.74,330581,Unknown,Zero-day,AI-based Detection,54,330594.74
Australia,2017,SQL Injection,IT,99.99,672966,Hacker Group,Zero-day,Firewall,13,673065.99
India,2022,Malware,Telecommunications,19.56,772330,Hacker Group,Unpatched Software,Encryption,20,772349.56
Japan,2018,Man-in-the-Middle,Telecommunications,81.61,255844,Insider,Unpatched Software,Encryption,8,255925.61
Germany,2017,Ransomware,Government,80.7,107009,Nation-state,Social Engineering,Encryption,67,107089.7
Japan,2020,SQL Injection,Retail,10.41,872095,Nation-state,Unpatched Software,Firewall,44,872105.41
France,2015,DDoS,Banking,85.36,50427,Hacker Group,Zero-day,Encryption,5,50512.36
USA,2017,Phishing,Retail,15.24,599197,Unknown,Zero-day,AI-based Detection,8,599212.24
Brazil,2022,Malware,Telecommunications,40.08,459643,Nation-state,Weak Passwords,Antivirus,10,459683.08
China,2021,DDoS,Telecommunications,10.2,950257,Nation-state,Weak Passwords,AI-based Detection,61,950267.2
Australia,2022,Phishing,Healthcare,72.53,496317,Hacker Group,Weak Passwords,Antivirus,62,496389.53
Brazil,2017,Man-in-the-Middle,Healthcare,96.36,596078,Hacker Group,Weak Passwords,Encryption,10,596174.36
Brazil,2019,Ransomware,Banking,88.63,701522,Insider,Social Engineering,VPN,10,701610.63
India,2015,Man-in-the-Middle,Healthcare,37.15,357124,Nation-state,Weak Passwords,Antivirus,31,357161.15
Germany,2022,SQL Injection,Government,47.92,112688,Nation-state,Social Engineering,VPN,15,112735.92
India,2018,Phishing,Retail,14.46,743107,Hacker Group,Social Engineering,VPN,49,743121.46
India,2022,Man-in-the-Middle,Banking,32.47,947465,Unknown,Unpatched Software,AI-based Detection,69,947497.47
Japan,2019,Ransomware,Government,81.97,358572,Hacker Group,Weak Passwords,VPN,48,358653.97
India,2024,Malware,IT,92.08,430701,Hacker Group,Unpatched Software,VPN,54,430793.08
Russia,2021,DDoS,Banking,94.48,281900,Hacker Group,Zero-day,Antivirus,1,281994.48
Australia,2021,Malware,IT,84.74,391257,Hacker Group,Zero-day,AI-based Detection,66,391341.74
China,2019,Man-in-the-Middle,Banking,81.8,277875,Nation-state,Social Engineering,Antivirus,43,277956.8
Japan,2015,DDoS,IT,33.27,207244,Hacker Group,Zero-day,Antivirus,38,207277.27
India,2018,Malware,Healthcare,66.96,294133,Insider,Social Engineering,VPN,20,294199.96
Brazil,2023,Ransomware,Telecommunications,71.4,66852,Hacker Group,Weak Passwords,VPN,58,66923.4
China,2024,Ransomware,Telecommunications,67.47,54722,Nation-state,Social Engineering,Encryption,13,54789.47
Australia,2022,Phishing,Education,17.32,178951,Nation-state,Weak Passwords,Antivirus,26,178968.32
USA,2020,Ransomware,Healthcare,17.24,682791,Insider,Social Engineering,Encryption,44,682808.24
Russia,2016,SQL Injection,Education,17.05,888205,Nation-state,Weak Passwords,AI-based Detection,38,888222.05
France,2022,Phishing,IT,52.19,794901,Insider,Zero-day,VPN,26,794953.19
France,2018,DDoS,Government,27.44,978683,Insider,Zero-day,VPN,35,978710.44
Australia,2015,Phishing,Telecommunications,73.77,639279,Nation-state,Zero-day,VPN,44,639352.77
UK,2020,Malware,Retail,10.94,675338,Hacker Group,Weak Passwords,VPN,54,675348.94
Australia,2021,Man-in-the-Middle,Government,42.24,147589,Insider,Unpatched Software,Antivirus,31,147631.24
Australia,2017,DDoS,Government,82.39,646824,Hacker Group,Zero-day,AI-based Detection,2,646906.39
China,2016,Phishing,Government,37.62,465317,Insider,Social Engineering,Firewall,20,465354.62
USA,2023,Malware,IT,21.53,233379,Unknown,Unpatched Software,Antivirus,50,233400.53
China,2023,Malware,IT,43.51,684108,Unknown,Weak Passwords,Firewall,24,684151.51
Russia,2020,DDoS,Healthcare,44.32,130510,Unknown,Social Engineering,AI-based Detection,66,130554.32
Brazil,2016,Man-in-the-Middle,Banking,43.45,489853,Nation-state,Zero-day,AI-based Detection,28,489896.45
Australia,2022,Malware,Healthcare,47.92,25905,Nation-state,Unpatched Software,VPN,40,25952.92
Japan,2023,Malware,IT,73.74,795367,Hacker Group,Zero-day,AI-based Detection,55,795440.74
Australia,2023,Man-in-the-Middle,Retail,93.25,349335,Nation-state,Zero-day,Firewall,27,349428.25
USA,2015,Ransomware,Government,13.92,366147,Hacker Group,Weak Passwords,VPN,38,366160.92
India,2018,Phishing,Government,41.1,25094,Nation-state,Unpatched Software,VPN,42,25135.1
Russia,2024,Phishing,Retail,44.08,988889,Nation-state,Unpatched Software,Encryption,31,988933.08
Japan,2022,Man-in-the-Middle,IT,65.19,216303,Hacker Group,Unpatched Software,AI-based Detection,49,216368.19
Australia,2023,Ransomware,Healthcare,21.54,388211,Nation-state,Weak Passwords,Antivirus,22,388232.54
USA,2022,Man-in-the-Middle,Education,83.61,30235,Insider,Weak Passwords,Encryption,47,30318.61
USA,2023,Malware,Banking,13.99,109083,Nation-state,Weak Passwords,Antivirus,49,109096.99
Germany,2017,Malware,Healthcare,49.09,397361,Hacker Group,Weak Passwords,Encryption,57,397410.09
UK,2016,Ransomware,Retail,32.16,329026,Nation-state,Weak Passwords,VPN,31,329058.16
Australia,2017,Man-in-the-Middle,IT,45.5,889521,Nation-state,Weak Passwords,Encryption,51,889566.5
USA,2018,SQL Injection,Healthcare,73.16,849755,Insider,Weak Passwords,Encryption,46,849828.16
China,2021,Phishing,Education,70.2,631101,Unknown,Zero-day,Firewall,36,631171.2
Japan,2016,DDoS,Healthcare,10.62,625954,Insider,Weak Passwords,AI-based Detection,71,625964.62
Japan,2023,Man-in-the-Middle,IT,26.65,220769,Unknown,Zero-day,VPN,71,220795.65
China,2018,SQL Injection,Healthcare,52.01,527443,Hacker Group,Unpatched Software,Firewall,24,527495.01
Germany,2020,DDoS,Government,32.71,846169,Hacker Group,Zero-day,VPN,59,846201.71
China,2017,Malware,Education,47.46,783239,Unknown,Social Engineering,VPN,41,783286.46
China,2022,Malware,Telecommunications,11.39,104772,Unknown,Social Engineering,Firewall,43,104783.39
Germany,2015,DDoS,Telecommunications,31.68,33098,Hacker Group,Zero-day,AI-based Detection,8,33129.68
UK,2024,Man-in-the-Middle,Healthcare,65.78,512847,Insider,Social Engineering,Encryption,72,512912.78
Australia,2018,SQL Injection,Banking,71.01,840106,Insider,Weak Passwords,VPN,44,840177.01
Brazil,2024,SQL Injection,Healthcare,69.57,269458,Insider,Zero-day,Firewall,15,269527.57
Germany,2021,Ransomware,Healthcare,66.84,242893,Nation-state,Zero-day,Antivirus,50,242959.84
Russia,2018,Phishing,Education,5.25,605947,Insider,Zero-day,Firewall,13,605952.25
Japan,2018,SQL Injection,Education,60.57,468399,Nation-state,Zero-day,VPN,56,468459.57
India,2015,Ransomware,IT,61.68,503774,Hacker Group,Zero-day,Firewall,37,503835.68
France,2021,Phishing,Retail,45.74,754278,Insider,Social Engineering,Firewall,46,754323.74
Japan,2019,SQL Injection,IT,89.81,126120,Unknown,Social Engineering,Encryption,39,126209.81
UK,2018,Malware,IT,73.27,210024,Hacker Group,Weak Passwords,Antivirus,20,210097.27
France,2022,DDoS,Banking,51.33,970775,Insider,Unpatched Software,AI-based Detection,21,970826.33
France,2017,Ransomware,Education,19.84,832471,Insider,Social Engineering,Firewall,54,832490.84
India,2024,Phishing,IT,97.25,165316,Unknown,Zero-day,Encryption,61,165413.25
Australia,2016,DDoS,Retail,2.96,990886,Insider,Weak Passwords,AI-based Detection,59,990888.96
UK,2021,Malware,Telecommunications,82.28,370146,Nation-state,Zero-day,VPN,55,370228.28
China,2021,Man-in-the-Middle,Retail,49.59,284823,Unknown,Social Engineering,Antivirus,50,284872.59
UK,2016,Malware,Healthcare,65.14,742857,Nation-state,Weak Passwords,Antivirus,49,742922.14
Brazil,2024,DDoS,Healthcare,70,484101,Hacker Group,Unpatched Software,VPN,9,484171
UK,2015,Ransomware,Telecommunications,22.58,368441,Hacker Group,Weak Passwords,AI-based Detection,71,368463.58
Russia,2019,Malware,Banking,55.42,945465,Unknown,Weak Passwords,Firewall,5,945520.42
USA,2016,DDoS,Healthcare,27.08,551900,Unknown,Social Engineering,VPN,17,551927.08
UK,2021,Malware,Banking,73.02,731722,Hacker Group,Weak Passwords,VPN,28,731795.02
Germany,2018,Phishing,Banking,88.73,436597,Insider,Unpatched Software,AI-based Detection,33,436685.73
France,2020,DDoS,Education,16.35,728830,Insider,Zero-day,AI-based Detection,45,728846.35
USA,2022,Ransomware,IT,85.61,826018,Hacker Group,Weak Passwords,Firewall,24,826103.61
Russia,2020,Ransomware,Telecommunications,76.61,791323,Insider,Unpatched Software,Encryption,40,791399.61
USA,2015,SQL Injection,Banking,42.77,117454,Insider,Unpatched Software,Firewall,19,117496.77
Japan,2023,Ransomware,Retail,95.3,986882,Hacker Group,Weak Passwords,Encryption,45,986977.3
France,2016,Phishing,IT,78.12,770227,Unknown,Zero-day,Antivirus,20,770305.12
China,2024,SQL Injection,Government,21.33,997411,Nation-state,Social Engineering,Antivirus,25,997432.33
Japan,2020,Malware,Education,66.93,640603,Hacker Group,Unpatched Software,VPN,23,640669.93
Brazil,2024,Phishing,Telecommunications,81.54,499671,Hacker Group,Weak Passwords,VPN,4,499752.54
India,2020,Phishing,Retail,12.64,805905,Nation-state,Social Engineering,Firewall,54,805917.64
France,2017,Phishing,Retail,43.2,377252,Nation-state,Unpatched Software,Encryption,8,377295.2
USA,2018,Ransomware,Retail,20.58,653168,Unknown,Weak Passwords,AI-based Detection,3,653188.58
Brazil,2017,Phishing,IT,26.62,955790,Nation-state,Zero-day,Encryption,44,955816.62
USA,2018,Phishing,Telecommunications,15.56,734448,Unknown,Social Engineering,Encryption,37,734463.56
China,2021,Ransomware,Retail,12.97,425647,Unknown,Zero-day,Antivirus,4,425659.97
France,2019,SQL Injection,Banking,98.04,278315,Unknown,Unpatched Software,VPN,3,278413.04
UK,2020,Man-in-the-Middle,Telecommunications,63.35,294447,Unknown,Zero-day,AI-based Detection,54,294510.35
Brazil,2020,DDoS,Education,26.57,384988,Insider,Zero-day,AI-based Detection,19,385014.57
Japan,2020,Man-in-the-Middle,Education,29.58,141411,Insider,Unpatched Software,AI-based Detection,58,141440.58
France,2023,Phishing,Healthcare,72.54,581712,Insider,Social Engineering,VPN,12,581784.54
UK,2020,Ransomware,Education,35.16,100749,Unknown,Zero-day,Firewall,62,100784.16
Russia,2019,Malware,Education,56.94,217880,Nation-state,Unpatched Software,VPN,48,217936.94
France,2023,Man-in-the-Middle,Telecommunications,99.71,357542,Hacker Group,Zero-day,Antivirus,21,357641.71
UK,2021,Malware,Telecommunications,77.18,347426,Hacker Group,Zero-day,Antivirus,36,347503.18
France,2018,Man-in-the-Middle,Education,36.92,829140,Nation-state,Unpatched Software,Encryption,2,829176.92
France,2017,SQL Injection,Healthcare,42.8,683189,Unknown,Zero-day,VPN,19,683231.8
India,2019,Ransomware,Banking,89.41,453441,Hacker Group,Unpatched Software,VPN,29,453530.41
Australia,2017,Malware,IT,33.34,673439,Insider,Weak Passwords,Firewall,13,673472.34
Brazil,2016,SQL Injection,Telecommunications,13.94,832297,Nation-state,Weak Passwords,AI-based Detection,69,832310.94
India,2018,Phishing,IT,13.05,400964,Nation-state,Weak Passwords,VPN,19,400977.05
France,2019,DDoS,Telecommunications,52.94,192293,Nation-state,Weak Passwords,VPN,57,192345.94
Russia,2019,Man-in-the-Middle,Banking,26.02,565292,Insider,Unpatched Software,Antivirus,27,565318.02
Brazil,2016,Phishing,Education,9.23,774750,Nation-state,Social Engineering,Firewall,70,774759.23
France,2022,Phishing,IT,78.2,666996,Insider,Weak Passwords,Encryption,59,667074.2
Germany,2016,Malware,Healthcare,94.12,21382,Unknown,Weak Passwords,Encryption,21,21476.12
Germany,2021,Phishing,Telecommunications,55.14,463525,Nation-state,Unpatched Software,AI-based Detection,59,463580.14
Russia,2022,Ransomware,Telecommunications,16.98,905673,Insider,Weak Passwords,VPN,54,905689.98
India,2024,Man-in-the-Middle,Retail,30.59,619881,Nation-state,Unpatched Software,Antivirus,42,619911.59
France,2015,Malware,Banking,20.27,987350,Insider,Zero-day,Antivirus,4,987370.27
USA,2019,Phishing,Education,97.32,849084,Nation-state,Zero-day,VPN,62,849181.32
UK,2017,Man-in-the-Middle,Education,13.06,799627,Hacker Group,Weak Passwords,Antivirus,36,799640.06
France,2023,Man-in-the-Middle,Education,87.39,307155,Unknown,Unpatched Software,Antivirus,28,307242.39
Japan,2024,Ransomware,Retail,88.36,989106,Unknown,Zero-day,Firewall,3,989194.36
India,2020,Man-in-the-Middle,Retail,84.77,129144,Hacker Group,Weak Passwords,Antivirus,25,129228.77
UK,2015,Malware,Government,57.81,767562,Unknown,Zero-day,Antivirus,61,767619.81
Brazil,2015,Malware,IT,74.03,956965,Hacker Group,Unpatched Software,Encryption,40,957039.03
Germany,2023,Phishing,Retail,87.55,291580,Unknown,Unpatched Software,Firewall,25,291667.55
Germany,2017,Ransomware,Education,76.96,950276,Hacker Group,Unpatched Software,Firewall,31,950352.96
UK,2017,Man-in-the-Middle,Telecommunications,89.07,932075,Unknown,Unpatched Software,Firewall,72,932164.07
Germany,2015,DDoS,Healthcare,33.96,931456,Hacker Group,Zero-day,AI-based Detection,22,931489.96
Japan,2023,Ransomware,Retail,28.77,983880,Nation-state,Unpatched Software,Antivirus,54,983908.77
China,2022,DDoS,Education,18.49,20680,Nation-state,Social Engineering,Firewall,29,20698.49
Australia,2018,Malware,Education,21.39,437056,Hacker Group,Zero-day,AI-based Detection,52,437077.39
India,2021,Malware,Government,57.91,769222,Insider,Weak Passwords,Antivirus,32,769279.91
